"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"CD23 cells per 100 cells, Blood","14018-6","Cells.CD23/100 cells:NFr:Pt:Bld:Qn","CD23 cells/100 cells in Blood"
"CD2 cells per 100 cells, Bone marrow","32527-4","Cells.CD2/100 cells:NFr:Pt:Bone mar:Qn","CD2 cells/100 cells in Bone marrow"
"Amphiphysin antibody, Blood","57749-4","Amphiphysin Ab:PrThr:Pt:Ser:Ord:IB","Amphiphysin Ab [Presence] in Serum by Immunoblot"
"EPINEPHrine, Blood","2230-1","EPINEPHrine:MCnc:Pt:Plas:Qn","EPINEPHrine [Mass/volume] in Plasma"
"Free lambda light chains, Urine","38178-0","Immunoglobulin light chains.lambda.free:MCnc:Pt:Urine:Qn","Lambda light chains.free [Mass/volume] in Urine"
"CD45 (Lymphs) Cells per 100 cells, Blood","8130-7","Cells.CD45/100 cells:NFr:Pt:Bld:Qn","CD45 (Lymphs) cells/100 cells in Blood"
"5-Hydroxyindoleacetate, Urine","1695-6","5-Hydroxyindoleacetate:MRat:24H:Urine:Qn","5-Hydroxyindoleacetate [Mass/time] in 24 hour Urine"
"CD3 cells, Blood","8122-4","Cells.CD3:NCnc:Pt:Bld:Qn","CD3 cells [#/volume] in Blood"
"EPINEPHrine, Urine","2232-7","EPINEPHrine:MRat:24H:Urine:Qn","EPINEPHrine [Mass/time] in 24 hour Urine"
"Adenovirus IgM antibody, Blood","5042-7","Adenovirus Ab.IgM:ACnc:Pt:Ser:Qn","Adenovirus IgM Ab [Units/volume] in Serum"
"Mycobacterium sp culture, Sputum","539-7","Mycobacterium sp identified:Prid:Pt:Sputum:Nom:Organism specific culture","Mycobacterium sp identified in Sputum by Organism specific culture"
"17-Hydroxyprogesterone, Blood","1668-3","17-Hydroxyprogesterone:MCnc:Pt:Ser/Plas:Qn","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma"
"Alpha-fetoprotein, Blood","1834-1","Alpha-1-Fetoprotein:MCnc:Pt:Ser/Plas:Qn","Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma"
"Activated Protein C Resistance, Blood","52750-7","Activated protein C resistance:PrThr:Pt:PPP:Ord:Coag","Activated protein C resistance [Presence] in Platelet poor plasma by Coagulation assay"
"Microscopic observation specimen 3, Sputum","79376-0","Microscopic observation^3rd specimen:Prid:Pt:Sputum:Nom:Acid fast stain.Ziehl-Neelsen","Microscopic observation [Identifier] in Sputum by Acid fast stain.Ziehl-Neelsen--3rd specimen"
"Aldosterone/Renin, Blood","30894-0","Aldosterone/Renin:Ratio:Pt:Plas:Qn","Aldosterone/Renin [Ratio] in Plasma"
"White blood cell (WBC) count, Blood","26464-8","Leukocytes:NCnc:Pt:Bld:Qn","Leukocytes [#/volume] in Blood"
"Amphetamines, Urine","3349-8","Amphetamines:PrThr:Pt:Urine:Ord","Amphetamines [Presence] in Urine"
"Free testosterone/Testosterone.total, Blood","15432-8","Testosterone.free/Testosterone.total:MFr:Pt:Ser/Plas:Qn","Testosterone Free/Testosterone.total in Serum or Plasma"
"CD15 cells per 100 cells, Blood","17117-3","Cells.CD15/100 cells:NFr:Pt:Bld:Qn","CD15 cells/100 cells in Blood"
"Urate, Blood","3084-1","Urate:MCnc:Pt:Ser/Plas:Qn","Urate [Mass/volume] in Serum or Plasma"
"IgD lymphocytes per 100 Lymphocytes, White blood cells","9441-7","Lymphocytes.IgD/100 lymphocytes:NFr:Pt:WBC:Qn","IgD lymphocytes/100 lymphocytes in Leukocytes"
"CD3-CD16+CD56+ (Natural Killer) Cells per 100 cells, Blood","8112-5","Cells.CD3-CD16+CD56+/100 cells:NFr:Pt:Bld:Qn","CD3-CD16+CD56+ (Natural killer) cells/100 cells in Blood"
"CD2 cells per 100 cells, Blood","8118-2","Cells.CD2/100 cells:NFr:Pt:Bld:Qn","CD2 cells/100 cells in Blood"
"CD38 cells per 100 cells, Bone marrow","51298-8","Cells.CD38/100 cells:NFr:Pt:Bone mar:Qn","CD38 cells/100 cells in Bone marrow"
"CD23 cells per 100 cells, Bone marrow","51268-1","Cells.CD23/100 cells:NFr:Pt:Bone mar:Qn","CD23 cells/100 cells in Bone marrow"
"CD19 cells per 100 cells, Bone marrow","32525-8","Cells.CD19/100 cells:NFr:Pt:Bone mar:Qn","CD19 cells/100 cells in Bone marrow"
"CD61 cells per 100 cells, Blood","20478-4","Cells.CD61/100 cells:NFr:Pt:Bld:Qn","CD61 cells/100 cells in Blood"
"CD3 cells per 100 cells, Blood","8124-0","Cells.CD3/100 cells:NFr:Pt:Bld:Qn","CD3 cells/100 cells in Blood"
"CD25 cells per 100 cells, Blood","8121-6","Cells.CD25/100 cells:NFr:Pt:Bld:Qn","CD25 cells/100 cells in Blood"
"CD19+Lambda+ cells per 100 cells, Blood","17123-1","Cells.CD19+Lambda+/100 cells:NFr:Pt:Bld:Qn","CD19+Lambda+ cells/100 cells in Blood"
"Corticotropin, Blood","6879-1","Corticotropin:MCnc:Pt:Plas:Qn:RIA","Corticotropin [Mass/volume] in Plasma by Radioimmunoassay (RIA)"
"IgG lymphocytes per 100 Lymphocytes, White blood cells","9442-5","Lymphocytes.IgG/100 lymphocytes:NFr:Pt:WBC:Qn","IgG lymphocytes/100 lymphocytes in Leukocytes"
"Amoxicillin allergy test","6829-6","Amoxicillin Ab.IgE:ACnc:Pt:Ser:Qn","Amoxicillin IgE Ab [Units/volume] in Serum"
"17-Hydroxyprogesterone, Dried blood spot","38473-5","17-Hydroxyprogesterone:MCnc:Pt:Bld.dot:Qn","17-Hydroxyprogesterone [Mass/volume] in DBS"
"Ampicillin allergy test","6712-4","Ampicillin Ab.IgE:ACnc:Pt:Ser:Qn","Ampicillin IgE Ab [Units/volume] in Serum"
"Cortisol, Urine","14158-0","Cortisol:MRat:24H:Urine:Qn","Cortisol [Mass/time] in 24 hour Urine"
"Cobalamin (Vitamin B12), Blood","14685-2","Cobalamins:SCnc:Pt:Ser/Plas:Qn","Cobalamin (Vitamin B12) [Moles/volume] in Serum or Plasma"
"Terminal deoxyribonucleotidyl transferase cells per 100 cells, Blood","52996-6","Cells.terminal deoxyribonucleotidyl transferase/100 cells:NFr:Pt:Bld:Qn:Flow cytometry","Terminal deoxyribonucleotidyl transferase cells/100 cells in Blood by Flow cytometry (FC)"
"Triglyceride, Blood","2571-8","Triglyceride:MCnc:Pt:Ser/Plas:Qn","Triglyceride [Mass/volume] in Serum or Plasma"
"Urea, Blood","3091-6","Urea:MCnc:Pt:Ser/Plas:Qn","Urea [Mass/volume] in Serum or Plasma"
"CD14 cells per 100 cells, Blood","8111-7","Cells.CD14/100 cells:NFr:Pt:Bld:Qn","CD14 cells/100 cells in Blood"
"Thyroid Stimulating Hormone (TSH; Thyrotropin), Blood","3016-3","Thyrotropin:ACnc:Pt:Ser/Plas:Qn","Thyrotropin [Units/volume] in Serum or Plasma"
"17-Hydroxyprogesterone, Urine","9616-4","17-Hydroxyprogesterone:MRat:24H:Urine:Qn","17-Hydroxyprogesterone [Mass/time] in 24 hour Urine"
"Vanillylmandelate, Urine","26706-2","Vanillylmandelate:MCnc:24H:Urine:Qn","Vanillylmandelate [Mass/volume] in 24 hour Urine"
"CD16+CD56+ cells, Blood","20402-4","Cells.CD16+CD56+:NCnc:Pt:Bld:Qn","CD16+CD56+ cells [#/volume] in Blood"
"CD19 cells per 100 cells, Blood","8117-4","Cells.CD19/100 cells:NFr:Pt:Bld:Qn","CD19 cells/100 cells in Blood"
"White blood cell (WBC) count, Urine sediment","5821-4","Leukocytes:Naric:Pt:Urine sed:Qn:Microscopy.light.HPF","Leukocytes [#/area] in Urine sediment by Microscopy high power field"
"CD3-CD16+CD56+ (Natural Killer) Cells per 100 cells, Bone marrow","32508-4","Cells.CD3-CD16+CD56+/100 cells:NFr:Pt:Bone mar:Qn","CD3-CD16+CD56+ (Natural killer) cells/100 cells in Bone marrow"
"CD45 (Lymphs) Cells per 100 cells, Bone marrow","51340-8","Cells.CD45/100 cells:NFr:Pt:Bone mar:Qn","CD45 (Lymphs) cells/100 cells in Bone marrow"
"CD25 cells per 100 cells, Bone marrow","32493-9","Cells.CD25/100 cells:NFr:Pt:Bone mar:Qn","CD25 cells/100 cells in Bone marrow"
"Corticotropin allergy test","6016-0","Corticotropin Ab.IgE:ACnc:Pt:Ser:Qn","Corticotropin IgE Ab [Units/volume] in Serum"
"CD20 cells per 100 cells, Blood","8119-0","Cells.CD20/100 cells:NFr:Pt:Bld:Qn","CD20 cells/100 cells in Blood"
"CD20 cells per 100 cells, Specimen","20595-5","Cells.CD20/100 cells:NFr:Pt:XXX:Qn","CD20 cells/100 cells in Specimen"
"CD5 cells per 100 cells, Bone marrow","35640-2","Cells.CD5/100 cells:NFr:Pt:Bone mar:Qn","CD5 cells/100 cells in Bone marrow"
"Vanillylmandelate, Urine","3122-9","Vanillylmandelate:MRat:24H:Urine:Qn","Vanillylmandelate [Mass/time] in 24 hour Urine"
"IgM, Blood","2472-9","IgM:MCnc:Pt:Ser/Plas:Qn","IgM [Mass/volume] in Serum or Plasma"
"T-cell Helper (CD4) Subset Panel, Blood","65758-5","T-cell helper (CD4) subset panel:-:Pt:Bld:-","T-cell helper (CD4) subset panel - Blood"
"Adenovirus IgG antibody, Blood","13914-7","Adenovirus Ab.IgG:ACnc:Pt:Ser:Qn","Adenovirus IgG Ab [Units/volume] in Serum"
"CD38 cells per 100 cells, Blood","8126-5","Cells.CD38/100 cells:NFr:Pt:Bld:Qn","CD38 cells/100 cells in Blood"
"CD235a cells per 100 cells, Blood","17221-3","Cells.CD235a/100 cells:NFr:Pt:Bld:Qn","CD235a cells/100 cells in Blood"
"Acetylcholine receptor antibody, Blood","68937-2","Acetylcholine receptor Ab:SCnc:Pt:Ser:Qn:IA","Acetylcholine receptor Ab [Moles/volume] in Serum by Immunoassay"
"Vitamin D3, Blood","1990-1","Cholecalciferol:MCnc:Pt:Ser/Plas:Qn","Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma"
"17-Hydroxyprogesterone, Dried blood spot","92726-9","17-Hydroxyprogesterone:MCnc:Pt:Bld.dot:Qn:LC/MS/MS","17-Hydroxyprogesterone [Mass/volume] in DBS by LC/MS/MS"
"CD16+CD56+ cells, Specimen","26561-1","Cells.CD16+CD56+:NCnc:Pt:XXX:Qn","CD16+CD56+ cells [#/volume] in Specimen"
"Androstenedione, Blood","1854-9","Androstenedione:MCnc:Pt:Ser/Plas:Qn","Androstenedione [Mass/volume] in Serum or Plasma"
"Cyclic citrullinated peptide antibody, Blood","32218-0","Cyclic citrullinated peptide Ab:ACnc:Pt:Ser:Qn:IA","Cyclic citrullinated peptide Ab [Units/volume] in Serum by Immunoassay"
"Cardiolipin IgG antibody, Blood","3181-5","Cardiolipin Ab.IgG:ACnc:Pt:Ser:Qn:IA","Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay"
"Cardiolipin IgA antibody, Blood","5076-5","Cardiolipin Ab.IgA:ACnc:Pt:Ser:Qn:IA","Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay"
"Centromere antibody, Blood","16137-2","Centromere Ab:PrThr:Pt:Ser:Ord","Centromere Ab [Presence] in Serum"
"Histone antibody, Blood","58765-9","Histone Ab:PrThr:Pt:Ser:Ord:IA","Histone Ab [Presence] in Serum by Immunoassay"
"Proteinase 3 antibody, Blood","46267-1","Proteinase 3 Ab:ACnc:Pt:Ser:Qn:IA","Proteinase 3 Ab [Units/volume] in Serum by Immunoassay"
"Beta 2 glycoprotein 1 IgG antibody, Blood","44448-9","Beta 2 glycoprotein 1 Ab.IgG:ACnc:Pt:Ser/Plas:Qn:IA","Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum or Plasma by Immunoassay"
"Myeloperoxidase antibody, Blood","46266-3","Myeloperoxidase Ab:ACnc:Pt:Ser:Qn:IA","Myeloperoxidase Ab [Units/volume] in Serum by Immunoassay"
"Beta 2 glycoprotein 1 IgM antibody, Blood","44449-7","Beta 2 glycoprotein 1 Ab.IgM:ACnc:Pt:Ser/Plas:Qn:IA","Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum or Plasma by Immunoassay"
"Mullerian inhibiting substance, Blood","83104-0","Mullerian inhibiting substance:MCnc:Pt:Ser/Plas:Qn:IA","Mullerian inhibiting substance [Mass/volume] in Serum or Plasma by Immunoassay"
"Cardiolipin IgM antibody, Blood","3182-3","Cardiolipin Ab.IgM:ACnc:Pt:Ser:Qn:IA","Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay"
"Phospholipase A2 Receptor IgG antibody, Blood","73737-9","Phospholipase A2 receptor Ab.IgG:ACnc:Pt:Ser:Qn:IA","Phospholipase A2 receptor IgG Ab [Units/volume] in Serum by Immunoassay"
"Histone antibody, Blood","56717-2","Histone Ab:PrThr:Pt:Ser:Ord:IB","Histone Ab [Presence] in Serum by Immunoblot"
"Glomerular basement membrane IgG antibody, Blood","30343-8","Glomerular basement membrane Ab.IgG:ACnc:Pt:Ser:Qn:IA","Glomerular basement membrane IgG Ab [Units/volume] in Serum by Immunoassay"
"PM-SCL-100 antibody, Blood","88735-6","PM-SCL-100 Ab:ACnc:Pt:Ser:Qn:Line blot","PM-SCL-100 Ab [Units/volume] in Serum by Line blot"
"Phospholipid IgG antibody, Blood","3286-2","Phospholipid Ab.IgG:ACnc:Pt:Ser:Qn:IA","Phospholipid IgG Ab [Units/volume] in Serum by Immunoassay"
"Baker's yeast IgG antibody","47321-5","Saccharomyces cerevisiae Ab.IgG:ACnc:Pt:Ser:Qn:IA","Baker's yeast IgG Ab [Units/volume] in Serum by Immunoassay"
"Purkinje cells antibody, Blood","12853-8","Purkinje cells Ab:PrThr:Pt:Ser:Ord:IB","Purkinje cells Ab [Presence] in Serum by Immunoblot"
"SARS-CoV-2 (COVID-19) antibody, Blood","95542-7","SARS coronavirus 2 Ab:PrThr:Pt:Ser/Plas/Bld:Ord:IA.rapid","SARS-CoV-2 (COVID-19) Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay"
"Baker's yeast IgA antibody","31032-6","Saccharomyces cerevisiae Ab.IgA:ACnc:Pt:Ser:Qn","Baker's yeast IgA Ab [Units/volume] in Serum"
"Phospholipid IgM antibody, Blood","3287-0","Phospholipid Ab.IgM:ACnc:Pt:Ser:Qn:IA","Phospholipid IgM Ab [Units/volume] in Serum by Immunoassay"
"Thyroglobulin antibody, Blood","5380-1","Thyroglobulin Ab:ACnc:Pt:Ser:Qn:RIA","Thyroglobulin Ab [Units/volume] in Serum by Radioimmunoassay (RIA)"
"Acetylsalicylate allergy test","7108-4","Acetylsalicylate Ab.IgE:ACnc:Pt:Ser:Qn","Acetylsalicylate IgE Ab [Units/volume] in Serum"
"Neuronal nuclear type 1 antibody, Blood","41769-1","Neuronal nuclear type 1 Ab:PrThr:Pt:Ser:Ord:IB","Neuronal nuclear type 1 Ab [Presence] in Serum by Immunoblot"
"Streptolysin O antibody, Blood","25788-1","Streptolysin O Ab:ACnc:Pt:Ser:Qn:LA","Streptolysin O Ab [Units/volume] in Serum by Latex agglutination"
"Beta-2-Microglobulin, Urine","1953-9","Beta-2-Microglobulin:MCnc:Pt:Urine:Qn","Beta-2-Microglobulin [Mass/volume] in Urine"
"Collagen crosslinked c-telopeptide, Blood","41171-0","Collagen crosslinked C-telopeptide:MCnc:Pt:Ser/Plas:Qn","Collagen crosslinked C-telopeptide [Mass/volume] in Serum or Plasma"
"Phospholipid IgA antibody, Blood","17459-9","Phospholipid Ab.IgA:ACnc:Pt:Ser:Qn:IA","Phospholipid IgA Ab [Units/volume] in Serum by Immunoassay"
"TPO antibody, Blood","5382-7","Thyroperoxidase Ab:ACnc:Pt:Ser/Plas:Qn:RIA","Thyroperoxidase Ab [Units/volume] in Serum or Plasma by Radioimmunoassay (RIA)"
"HCG.beta subunit, Blood","21198-7","Choriogonadotropin.beta subunit:ACnc:Pt:Ser/Plas:Qn","Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma"
"Brucella abortus antibody, Blood","20719-1","Brucella abortus Ab:Titr:Pt:Ser:SemiQn:Aggl.standard tube","Brucella abortus Ab [Titer] in Serum by Tube agglutination"
"Brucella sp IgG antibody, Blood","56630-7","Brucella sp Ab.IgG:ACnc:Pt:Ser:Qn:IA","Brucella sp IgG Ab [Units/volume] in Serum by Immunoassay"
"Biotinidase deficiency, Dried blood spot","46761-3","Biotinidase deficiency:Imp:Pt:Bld.dot:Nom","Biotinidase deficiency newborn screen interpretation"
"Borrelia burgdorferi IgM antibody, Blood","5064-1","Borrelia burgdorferi Ab.IgM:ACnc:Pt:Ser:Qn:IA","Borrelia burgdorferi IgM Ab [Units/volume] in Serum by Immunoassay"
"Brucella sp IgM antibody, Blood","56631-5","Brucella sp Ab.IgM:ACnc:Pt:Ser:Qn:IA","Brucella sp IgM Ab [Units/volume] in Serum by Immunoassay"
"CD117 cells per 100 cells, Specimen","32742-9","Cells.CD117/100 cells:NFr:Pt:XXX:Qn","CD117 cells/100 cells in Specimen"
"Borrelia burgdorferi IgG antibody, Blood","5062-5","Borrelia burgdorferi Ab.IgG:ACnc:Pt:Ser:Qn:IA","Borrelia burgdorferi IgG Ab [Units/volume] in Serum by Immunoassay"
"Brucella melitensis antibody, Blood","22933-6","Brucella melitensis Ab:PrThr:Pt:Ser:Ord:Aggl","Brucella melitensis Ab [Presence] in Serum by Agglutination"
"CD41 cells per 100 cells, Blood","17148-8","Cells.CD41/100 cells:NFr:Pt:Bld:Qn","CD41 cells/100 cells in Blood"
"Cancer Ag 15-3, Blood","83083-6","Cancer Ag 15-3:ACnc:Pt:Ser/Plas:Qn:IA","Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay"
"CD103 cells per 100 cells, Bone marrow","51221-0","Cells.CD103/100 cells:NFr:Pt:Bone mar:Qn","CD103 cells/100 cells in Bone marrow"
"Cannabinoids, Urine","19289-8","Cannabinoids:PrThr:Pt:Urine:Ord:Confirm","Cannabinoids [Presence] in Urine by Confirmatory method"
"Candida albicans IgM antibody, Blood","56150-6","Candida albicans Ab.IgM:ACnc:Pt:Ser:Qn","Candida albicans IgM Ab [Units/volume] in Serum"
"Cephalosporin allergy test","50033-0","Cephalosporin Ab.IgE:ACnc:Pt:Ser:Qn","Cephalosporin IgE Ab [Units/volume] in Serum"
"CD3 cells/CD4 Cells, Specimen","43275-7","Cells.CD3/Cells.CD4:NRto:Pt:XXX:Qn","CD3 cells/CD4 cells [# Ratio] in Specimen"
"CD117 cells per 100 cells, Bone marrow","42866-4","Cells.CD117/100 cells:NFr:Pt:Bone mar:Qn","CD117 cells/100 cells in Bone marrow"
"CD117 cells per 100 cells, Blood","17107-4","Cells.CD117/100 cells:NFr:Pt:Bld:Qn","CD117 cells/100 cells in Blood"
"CD3+CD4+ (T4 Helper) Cells/CD3+CD8+ (T8 Suppressor Cells) Cells, Blood","54218-3","Cells.CD3+CD4+/Cells.CD3+CD8+:NRto:Pt:Bld:Qn","CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood"
"Cancer Ag 125, Blood","83082-8","Cancer Ag 125:ACnc:Pt:Ser/Plas:Qn:IA","Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay"
"CD103 cells per 100 cells, Blood","17100-9","Cells.CD103/100 cells:NFr:Pt:Bld:Qn","CD103 cells/100 cells in Blood"
"Cancer Ag 72-4, Blood","17843-4","Cancer Ag 72-4:ACnc:Pt:Ser/Plas:Qn","Cancer Ag 72-4 [Units/volume] in Serum or Plasma"
"Cancer Ag 19-9, Blood","83084-4","Cancer Ag 19-9:ACnc:Pt:Ser/Plas:Qn:IA","Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay"
"Chikungunya virus IgM antibody, Specimen","95687-0","Chikungunya virus Ab.IgM:PrThr:Pt:XXX:Ord:IA","Chikungunya virus IgM Ab [Presence] in Specimen by Immunoassay"
"CD45 (Lymphs) Cells per 100 cells, Tissue","51338-2","Cells.CD45/100 cells:NFr:Pt:Tiss:Qn","CD45 (Lymphs) cells/100 cells in Tissue"
"Chikungunya virus IgM antibody, Blood","57934-2","Chikungunya virus Ab.IgM:PrThr:Pt:Ser/Plas:Ord","Chikungunya virus IgM Ab [Presence] in Serum"
"Chikungunya virus IgM antibody, Blood","88629-1","Chikungunya virus Ab.IgM:PrThr:Pt:Ser/Plas:Ord:IA","Chikungunya virus IgM Ab [Presence] in Serum by Immunoassay"
"Chlamydophila pneumoniae IgA antibody, Blood","22170-5","Chlamydophila pneumoniae Ab.IgA:Titr:Pt:Ser:SemiQn","Chlamydophila pneumoniae IgA Ab [Titer] in Serum"
"Chlamydia trachomatis IgM antibody, Blood","45000-7","Chlamydia trachomatis Ab.IgM:Titr:Pt:Ser:SemiQn:IA","Chlamydia trachomatis IgM Ab [Titer] in Serum by Immunoassay"
"ZAP70 cells per 100 cells, Blood","46235-8","Cells.ZAP70/100 cells:NFr:Pt:Bld:Qn","ZAP70 cells/100 cells in Blood"
"Chlamydophila pneumoniae IgG antibody, Blood","22172-1","Chlamydophila pneumoniae Ab.IgG:Titr:Pt:Ser:SemiQn","Chlamydophila pneumoniae IgG Ab [Titer] in Serum"
"Chlamydophila pneumoniae IgM antibody, Blood","22174-7","Chlamydophila pneumoniae Ab.IgM:Titr:Pt:Ser:SemiQn","Chlamydophila pneumoniae IgM Ab [Titer] in Serum"
"ZAP70 cells per 100 cells, Tissue","46231-7","Cells.ZAP70/100 cells:NFr:Pt:Tiss:Qn","ZAP70 cells/100 cells in Tissue"
"Direct Antiglobulin Test (DAT; Direct Coombs), Red blood cells","1007-4","Direct antiglobulin test.polyspecific reagent:PrThr:Pt:RBC:Ord","Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells"
"Cortisol 10 AM specimen, Blood","58633-9","Cortisol^10 AM specimen:MCnc:Pt:Ser/Plas:Qn","Cortisol [Mass/volume] in Serum or Plasma --10 AM specimen"
"Cortisol 30 min after challenge, Blood","12566-6","Cortisol^30M post XXX challenge:MCnc:Pt:Ser/Plas:Qn","Cortisol [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge"
"Cortisol 10 PM specimen, Blood","58635-4","Cortisol^10 PM specimen:MCnc:Pt:Ser/Plas:Qn","Cortisol [Mass/volume] in Serum or Plasma --10 PM specimen"
"Cortisol, Urine","20622-7","Cortisol:MCnc:24H:Urine:Qn","Cortisol [Mass/volume] in 24 hour Urine"
"Cortisol 1 hr after challenge, Blood","12567-4","Cortisol^1H post XXX challenge:MCnc:Pt:Ser/Plas:Qn","Cortisol [Mass/volume] in Serum or Plasma --1 hour post XXX challenge"
"Cryptococcus sp antigen, Spinal fluid","9817-8","Cryptococcus sp Ag:Titr:Pt:CSF:SemiQn:IA","Cryptococcus sp Ag [Titer] in Cerebral spinal fluid by Immunoassay"
"SARS-CoV-2 (COVID-19) antigen, Upper respiratory","97097-0","SARS coronavirus 2 Ag:PrThr:Pt:Respiratory system specimen.upper:Ord:IA.rapid","SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Rapid immunoassay"
"Cytokeratin 19, Blood","19182-5","Cytokeratin 19:ACnc:Pt:Ser/Plas:Qn","Cytokeratin 19 [Units/volume] in Serum or Plasma"
"Creatine Kinase-MB Form (CK-MB), Blood","83092-7","Creatine kinase.MB:MCnc:Pt:Ser/Plas:Qn:IA","Creatine kinase.MB [Mass/volume] in Serum or Plasma by Immunoassay"
"DHEA, Blood","2193-1","Dehydroepiandrosterone:MCnc:Pt:Ser/Plas:Qn","Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma"
"Dengue virus NS1 antigen, Blood","75377-2","Dengue virus NS1 Ag:PrThr:Pt:Ser/Plas/Bld:Ord:IA.rapid","Dengue virus NS1 Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay"
"Cytomegalovirus (CMV) IgG antibody, Blood","5124-3","Cytomegalovirus Ab.IgG:ACnc:Pt:Ser/Plas:Qn:IA","Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay"
"Cytoplasmic CD79a Cells per 100 cells, Blood","52991-7","Cells.cytoplasmic CD79a/100 cells:NFr:Pt:Bld:Qn","Cytoplasmic CD79a cells/100 cells in Blood"
"Cytoplasmic CD3 Cells per 100 cells, Bone marrow","52883-6","Cells.cytoplasmic CD3/100 cells:NFr:Pt:Bone mar:Qn","Cytoplasmic CD3 cells/100 cells in Bone marrow"
"Dengue virus IgG antibody, Blood","29661-6","Dengue virus Ab.IgG:PrThr:Pt:Ser/Plas:Ord:IA","Dengue virus IgG Ab [Presence] in Serum or Plasma by Immunoassay"
"Cryptococcus sp antigen, Spinal fluid","9819-4","Cryptococcus sp Ag:Titr:Pt:CSF:SemiQn:LA","Cryptococcus sp Ag [Titer] in Cerebral spinal fluid by Latex agglutination"
"Cytomegalovirus (CMV) IgM antibody, Blood","5127-6","Cytomegalovirus Ab.IgM:Titr:Pt:Ser/Plas:SemiQn:IF","Cytomegalovirus IgM Ab [Titer] in Serum or Plasma by Immunofluorescence"
